# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.018965244293212891e+00 1.908013969659805298e-02 2.018854141235351562e+00 1.908013969659805298e-02 1.040769577026367188e+00
1.000000000000000000e+03 9.955348446965217590e-03 2.191855401179054752e-06 1.004157308489084244e-02 2.191855401179054752e-06 1.859108358621597290e-01
2.000000000000000000e+03 3.075380343943834305e-03 1.860553197730041575e-06 2.770251128822565079e-03 1.860553197730041575e-06 1.959603130817413330e-01
3.000000000000000000e+03 2.413981826975941658e-03 4.183590644970536232e-04 1.801587291993200779e-03 4.183590644970536232e-04 2.052092701196670532e-01
4.000000000000000000e+03 1.479914528317749500e-03 1.328711950918659568e-04 7.295094546861946583e-04 1.328711950918659568e-04 1.995453387498855591e-01
5.000000000000000000e+03 1.082991599105298519e-03 3.784733082490276956e-10 6.042479653842747211e-04 3.784733082490276956e-10 2.002650648355484009e-01
6.000000000000000000e+03 9.703263640403747559e-04 4.443467815917756525e-11 5.519312107935547829e-04 4.443467815917756525e-11 2.004700601100921631e-01
7.000000000000000000e+03 9.060113225132226944e-04 8.216008984263112325e-10 5.152809899300336838e-04 8.216008984263112325e-10 2.006465196609497070e-01
8.000000000000000000e+03 8.930591866374015808e-04 3.945049684261903167e-06 5.436642677523195744e-04 3.945049684261903167e-06 1.976414769887924194e-01
9.000000000000000000e+03 7.509512361139059067e-04 4.188544266980898101e-08 3.867123159579932690e-04 4.188544266980898101e-08 2.011716961860656738e-01
1.000000000000000000e+04 7.517328485846519470e-04 4.852628165963324136e-08 3.644809767138212919e-04 4.852628165963324136e-08 2.004325538873672485e-01
